10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
86.347,9.97,110.339,86.796,20.12,200.682,86.638,30,245.359,,,,,,,,,
86.753,10.04,110.505,87.2,20.14,200.957,86.996,29.94,249.56,,,,,,,,,
87.119,10.06,104.746,87.566,20.11,205.325,87.398,29.96,248.565,,,,,,,,,
87.479,9.99,112.726,87.924,20.05,204.371,87.803,30,241.877,,,,,,,,,
87.854,9.99,119.345,88.301,19.74,204.221,88.167,29.97,248.348,,,,,,,,,
88.219,10.02,118.373,88.688,20.27,192.145,88.526,30,246.793,,,,,,,,,
88.579,10.02,112.705,89.069,20.04,201.338,88.93,29.96,243.314,,,,,,,,,
88.954,9.99,107.206,89.428,19.89,195.522,89.332,29.96,245.739,,,,,,,,,
89.32,10.02,113.842,89.815,19.73,195.481,89.699,30,248.069,,,,,,,,,
89.679,9.97,111.872,90.179,20.03,203.032,90.058,30.07,248.783,,,,,,,,,
90.04,9.96,114.915,90.584,20.11,199.009,90.462,30.1,250.427,,,,,,,,,
90.407,9.97,113.757,90.971,20.08,201.782,90.864,30.02,253.034,,,,,,,,,
90.794,9.98,113.725,91.347,20.03,197.289,91.231,29.99,245.586,,,,,,,,,
91.158,9.98,117.18,91.713,20.01,192.347,91.59,29.99,248.938,,,,,,,,,
91.547,9.99,109.604,92.114,19.9,194.3,91.964,29.94,248.876,,,,,,,,,
91.928,10.01,114.883,92.48,19.82,198.369,92.333,30.03,247.759,,,,,,,,,
92.286,10.01,112.589,92.841,20.05,196.127,92.69,29.99,250.427,,,,,,,,,
92.691,9.98,110.536,93.201,20.11,197.019,93.068,29.97,246.116,,,,,,,,,
93.093,9.99,111.568,93.567,20.13,205.953,93.471,30.02,245.931,,,,,,,,,
93.46,10,112.8,93.967,20.05,203.203,93.836,30.01,245.218,,,,,,,,,
