10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
43.473,9.99,89.121,43.848,20.02,202.722,43.661,30.01,296.843,43.935,40,385.007,43.635,50.01,453.719,43.827,59.97,510.651
43.835,10,85.924,44.236,20,199.7,44.037,30.01,296.417,44.294,39.99,380.576,43.984,50,454.056,44.192,59.99,510.687
44.199,10,86.505,44.616,20.02,196.575,44.403,30,299.173,44.7,39.97,383.609,44.388,50,454.82,44.552,60.04,511.092
44.587,10.01,96.896,44.975,19.99,193.32,44.762,30,296.734,45.1,39.98,380.769,44.755,50.01,454.575,44.939,60.03,508.69
44.979,10,95.657,45.363,20,198.98,45.137,30,299.918,45.467,40.03,382.574,45.113,50,451.367,45.303,59.98,506.99
45.382,9.99,93.69,45.729,19.99,201.52,45.542,30.01,298.542,45.825,40.05,382.911,45.518,50,453.536,45.706,59.97,512.499
45.787,9.99,96.927,46.132,20,203.34,45.907,30,298.966,46.228,40.02,380.216,45.919,50,454.636,46.111,59.99,508.837
46.152,10.01,97.609,46.497,20,194.589,46.268,29.97,295.46,46.633,39.99,382.574,46.285,50.01,450.147,46.476,60.03,509.575
46.513,10,83.944,46.857,20,199.048,46.669,29.97,295.303,46.997,39.95,385.677,46.645,50.01,448.927,46.836,60.03,502.487
46.898,10.01,87.862,47.26,19.99,195.372,47.093,29.99,296.417,47.357,39.97,380.841,47.049,49.99,451.887,47.239,59.96,507.766
47.264,10,97.562,47.663,19.99,199.767,47.448,30,296.204,47.732,39.98,380.432,47.452,50,453.598,47.644,59.98,508.873
47.667,10,87.155,48.039,20,197.878,47.852,30.01,295.886,48.097,39.99,383.536,47.819,49.99,454.82,48.008,60.01,506.475
48.033,9.99,87.155,48.426,20,202.757,48.255,30.03,297.109,48.457,40.05,383.319,48.176,50,454.209,48.367,60.02,507.47
48.392,9.99,89.135,48.792,20,198.913,48.621,30,297.534,48.862,40.02,380.504,48.579,49.98,449.784,48.743,59.99,509.353
48.768,10.01,89.829,49.194,20,200.902,48.981,29.99,295.09,49.264,40.03,384.279,48.983,49.99,454.453,49.11,59.96,507.212
49.157,10.01,84.636,49.583,19.99,199.7,49.383,29.99,293.978,49.631,39.95,382.213,49.349,50,453.323,49.468,60,507.102
49.537,10,85.896,49.957,20.03,195.372,49.786,29.97,297.001,49.99,39.98,382.357,49.708,50,452.132,49.872,60.02,509.164
49.897,10,85.273,50.323,20,203.375,50.152,30,297.793,50.392,39.98,381.178,50.084,50,452.896,50.276,60,506.583
50.3,9.97,83.971,50.726,20.02,194.688,50.51,30,295.515,50.794,39.99,378.555,50.472,49.99,454.177,50.641,60.02,510.345
50.665,9.99,98.911,51.092,20,199.463,50.886,30.01,293.337,51.161,40.01,386.638,50.853,49.99,451.158,50.999,60.01,505.958
51.025,10,99.529,51.451,20.01,202.002,51.252,30.02,296.949,51.519,40,384.571,51.212,49.99,451.22,51.377,60.01,505.332
51.4,10,94.945,51.826,19.99,202.757,51.611,30.02,297.109,51.897,39.98,382.766,51.599,49.99,453.384,51.766,59.94,504.044
51.805,10,97.594,52.215,19.97,200.25,52.015,30,298.644,52.286,40,380.769,51.965,49.99,454.209,52.146,59.93,509.931
52.17,10,90.451,52.58,20,202.241,52.418,29.99,297.74,52.665,40.01,381.876,52.369,49.98,453.079,52.506,59.99,505.48
52.528,10,83.32,52.956,20.01,198.947,52.783,30,298.168,53.024,40.02,379.928,52.756,50.03,450.121,52.909,60.01,506.694
52.934,10.01,91.723,53.359,20.03,203.751,53.144,29.98,298.172,53.373,40.02,380.697,53.136,50.03,452.256,53.274,60,505.883
53.336,10,84.595,53.724,20,196.642,53.518,29.98,295.091,53.75,40.01,382.357,53.495,49.98,451.038,53.634,60,506.25
53.701,10.01,87.862,54.084,19.96,196.542,53.922,29.97,298.537,54.116,39.98,385.051,53.9,49.96,449.42,54.01,59.99,506.984
54.062,10.01,87.226,54.461,20,194.622,54.287,30,297.424,54.475,39.99,383.319,54.265,49.97,447.684,54.376,59.99,504.741
54.465,10,86.575,54.849,20.01,198.812,54.647,30,301.29,54.879,40,381.876,54.625,50.01,454.788,54.734,59.99,505.661
54.867,10,98.26,55.23,20.01,197.878,55.034,29.99,298.435,55.283,39.99,384.687,55.002,50.02,448.63,55.111,60.01,508.083
55.232,10,89.178,55.59,19.99,203.306,55.398,30,294.72,55.648,40,386.084,55.366,50.02,451.676,55.515,60.03,507.272
55.593,10,98.895,55.976,19.97,197.193,55.803,29.98,296.628,56.008,39.96,380.962,55.726,50.02,448.474,55.879,60.04,501.986
55.996,10.01,99.529,56.34,20,197.845,56.166,30,297.48,56.382,40.02,383.436,56.103,50.02,452.286,56.237,59.99,505.585
56.383,10,99.561,56.746,19.99,199.531,56.526,30.03,299.872,56.788,40.02,387.191,56.469,49.98,449.602,56.626,59.97,502.353
56.749,10,83.307,57.109,20,198.98,56.904,30.03,300.295,57.151,40,381.995,56.828,49.96,451.464,56.992,59.97,506.54
57.136,9.99,87.848,57.468,20.02,203.203,57.305,29.99,299.979,57.51,40,383.101,57.204,49.96,454.604,57.395,59.99,504.187
57.517,10,96.292,57.845,20.02,198.295,57.672,29.99,296.63,57.915,39.98,378.341,57.569,49.99,453.659,57.759,60,505.984
57.877,10.02,98.911,58.211,20,201.418,58.031,29.99,297.747,58.33,39.99,382.43,57.929,50,451.311,58.121,60.03,501.838
58.279,10.02,97.641,58.568,19.97,197.845,58.436,29.98,299.872,58.722,39.98,382.548,58.314,49.99,452.926,58.507,60.03,504.332
58.645,10.01,95.657,58.947,20.01,199.801,58.839,29.98,296.365,59.096,39.97,381.515,58.707,50,446.467,58.872,59.97,502.867
59.004,10,96.339,59.312,20.01,202.757,59.204,30.01,297.534,59.499,40.01,386.345,59.082,49.99,449.666,59.277,59.94,505.396
59.364,10.02,96.339,59.671,19.97,198.329,59.564,30.01,297.424,59.866,40,384.614,59.487,49.98,449.973,59.679,59.95,505.174
59.729,10,89.815,60.045,19.98,203.409,59.967,30.01,298.542,60.225,40.03,384.061,59.853,49.98,450.52,60.044,59.98,505.174
60.133,10.05,89.829,60.435,20.01,197.811,60.353,30,298.061,60.628,40.03,383.028,60.213,50.01,451.129,60.405,59.99,501.472
60.499,10.01,92.448,60.816,20.03,202.138,60.72,29.99,294.184,61.032,40,380.121,60.615,50.03,450.156,60.806,59.99,501.618
60.857,9.95,97.688,61.175,20.02,196.642,61.121,29.98,294.985,61.395,39.98,380.89,61.018,50.04,449.484,61.212,60.03,502.494
61.245,9.94,90.466,61.578,20.01,197.878,61.487,30,299.395,61.756,39.97,384.76,61.421,50,450.764,61.578,60.03,501.177
61.61,9.95,86.575,61.95,19.96,199.733,61.852,30.02,296.841,62.173,39.97,381.154,61.788,49.98,449.274,61.94,5.83,7.9
62.019,9.99,82.656,62.357,19.96,198.43,62.251,30,300.286,62.545,39.98,379.856,62.18,49.98,450.491,62.338,0,0.076
62.418,10.01,89.772,62.744,20.01,199.497,62.636,30,297.851,62.909,40,385.719,62.55,49.96,450.947,62.741,0,0
62.792,10.03,98.228,63.107,20,197.811,63.003,30.01,297.107,63.259,39.99,383.916,62.916,49.95,453.109,63.106,0,0
63.195,10.01,83.971,63.512,20.03,198.947,63.368,30,298.756,63.608,40.01,381.226,63.275,49.99,450.642,63.465,0,0
63.567,10,96.99,63.878,20.02,196.542,63.726,29.97,296.577,64.013,40.02,382.14,63.65,50,451.647,63.816,0,0
63.92,10,94.356,64.238,20.03,202.036,64.102,29.97,296.574,64.401,40.01,381.154,64.015,50,452.618,64.175,0,0
64.279,10,94.401,64.624,20.02,204.68,64.452,30,296.787,64.81,40,386.198,64.374,49.99,452.834,64.541,0,0
64.646,9.99,98.276,64.989,19.96,196.09,64.801,29.99,294.083,65.193,39.99,380.962,64.751,49.99,447.206,64.945,0,0
65.048,9.99,101.53,65.392,20,200.97,65.205,30,295.781,65.559,40.01,384.947,65.154,49.98,448.331,65.311,0,0
65.414,10.01,95.688,65.781,20,200.25,65.572,29.99,300.456,65.92,39.99,383.916,65.521,50.02,450.916,65.669,0,0
65.774,10.01,98.244,66.162,19.97,197.711,65.928,30,296.258,66.323,40,383.77,65.878,50.04,449.7,66.058,0,0
66.177,10.01,84.622,66.52,20,201.554,66.305,30.02,299.818,66.709,39.99,384.322,66.282,50.03,451.918,66.42,0,0
66.58,10,83.387,66.907,20,202.688,66.693,30.02,295.621,67.075,39.99,380.385,66.685,50,449.336,66.773,0,0
66.947,10,91.131,67.273,20,203.271,67.073,30,295.038,67.477,39.98,383.436,67.05,49.99,448.149,67.175,0,0
67.305,10,85.924,67.675,19.99,198.913,67.432,29.99,297.374,67.825,40,382.258,67.412,49.98,448.848,67.577,0,0
67.693,9.99,86.617,68.042,20.01,196.056,67.782,29.99,297.317,68.176,40,383.77,67.814,49.96,447.297,67.941,0,0
68.058,10,84.608,68.402,20,195.603,68.186,29.99,299.549,68.579,40.02,386.531,68.219,49.98,447.877,68.299,0,0
68.462,10,98.958,68.805,19.97,196.056,68.588,29.99,295.09,68.944,40,380.529,68.583,50,449.427,68.677,0,0
68.864,9.99,89.193,69.208,19.97,201.038,68.938,30,297.37,69.303,39.98,381.634,68.943,50.02,452.468,69.043,0,0
69.23,10,85.314,69.573,20.02,195.438,69.341,30.01,295.834,69.652,39.98,381.634,69.345,50,450.277,69.416,0,0
69.591,10,86.603,69.933,20.02,197.711,69.708,30.01,299.555,70.028,40,380.265,69.748,50.02,450.734,69.795,0,0
69.976,10,83.347,70.336,20.05,203.34,70.067,29.99,296.79,70.38,39.98,384.061,70.115,50.02,451.493,70.153,0,0
70.342,10,88.556,70.74,20.02,201.589,70.47,29.98,295.09,70.783,39.99,379.209,70.472,49.98,450.825,70.517,0,0
70.746,10,84.636,71.105,19.99,196.375,70.872,29.97,299.281,71.15,40.01,383.843,70.822,49.96,450.491,70.891,0,0
71.11,10,87.877,71.465,19.99,205.16,71.239,30,300.349,71.507,40.01,382.186,71.182,49.96,449.852,71.245,0,0
71.47,10,85.993,71.841,19.99,199.598,71.598,30.01,294.985,71.913,40,381.226,71.549,49.99,450.642,71.606,0,0
71.845,10,95.083,72.207,19.97,202.654,72.001,30,292.805,72.314,40.01,383.145,71.96,49.99,447.605,71.994,0,0
72.212,9.99,85.951,72.565,20.01,200.732,72.423,30.01,298.863,72.703,40.01,382.548,72.359,49.98,447.814,72.357,0,0
72.571,9.99,85.951,72.943,20.04,195.857,72.809,30,297.587,73.076,40.02,384.104,72.73,49.99,449.001,72.708,0,0
72.948,10,97.021,73.308,20.02,200.148,73.184,30,295.515,73.442,39.99,380.673,73.135,50.04,446.907,73.111,0,0
